"Atta ur Rehman Khan - Mobile Cloud Computing, Cybersecurity, IoT	"
"Wil van der Aalst – business process management, process mining, Petri nets	"
"Scott Aaronson – quantum computing and complexity theory	"
"Rediet Abebe – algorithms, artificial intelligence	"
"Hal Abelson – intersection of computing and teaching	"
"Serge Abiteboul – database theory	"
"Samson Abramsky – game semantics	"
"Leonard Adleman – RSA, DNA computing	"
"Manindra Agrawal – polynomial-time primality testing	"
"Luis von Ahn – human-based computation	"
"Alfred Aho – compilers book, the 'a' in AWK	"
"Frances E. Allen – compiler optimization	"
"Gene Amdahl – supercomputer developer, Amdahl Corporation founder	"
"David P. Anderson – volunteer computing	"
"Lisa Anthony – natural user interfaces	"
"Andrew Appel – compiler of text books	"
"Cecilia R. Aragon – invented treap, human-centered data science	"
"Bruce Arden – programming language compilers (GAT, Michigan Algorithm Decoder (MAD)), virtual memory architecture, Michigan Terminal System (MTS)	"
"Angie Jones - software engineer and automation architect. Holds 26 patented inventions in the United States of America and Japan	"
"Sanjeev Arora – PCP theorem	"
"Winifred ""Tim"" Alice Asprey – established the computer science curriculum at Vassar College	"
"John Vincent Atanasoff – computer pioneer, creator of Atanasoff Berry Computer (ABC)	"
"Shakuntala Atre – database theory	"
"Charles Babbage (1791–1871) – invented first mechanical computer called the supreme mathematician	"
"Charles Bachman – American computer scientist, known for Integrated Data Store	"
"Roland Carl Backhouse – mathematics of computer program construction, algorithmic problem solving, ALGOL	"
"John Backus – FORTRAN, Backus–Naur form, first complete compiler	"
"David F. Bacon – programming languages, garbage collection	"
"David Bader	"
"Victor Bahl	"
"Anthony James Barr – SAS System	"
"Jean Bartik (1924–2011) – one of the first computer programmers, on ENIAC (1946), one of the first Vacuum tube computers, back when ""programming"" involved using cables, dials, and switches to physically rewire the machine; worked with John Mauchly toward BINAC (1949), EDVAC (1949), UNIVAC (1951) to develop early ""stored program"" computers	"
"Andrew Barto	"
"Friedrich L. Bauer – Stack (data structure), Sequential Formula Translation, ALGOL, software engineering, Bauer–Fike theorem	"
"Rudolf Bayer – B-tree	"
"Gordon Bell (born 1934) – computer designer DEC VAX, author: Computer Structures	"
"Steven M. Bellovin – network security	"
"Cecilia Berdichevsky (1925–2010) pioneering Argentinian computer scientist	"
"Tim Berners-Lee – World Wide Web	"
"Daniel J. Bernstein – qmail, software as protected speech	"
"Peter Bernus	"
"Abhay Bhushan	"
"Dines Bjrner – Vienna Development Method (VDM), RAISE	"
"Gerrit Blaauw – one of the principal designers of the IBM System 360 line of computers	"
"Sue Black	"
"David Blei	"
"Dorothy Blum – National Security Agency	"
"Lenore Blum – complexity	"
"Manuel Blum – cryptography	"
"Barry Boehm – software engineering economics, spiral development	"
"Corrado Bohm – author of the structured program theorem	"
"Kurt Bollacker	"
"Jeff Bonwick – invented slab allocation and ZFS	"
"Grady Booch – Unified Modeling Language, Object Management Group	"
"George Boole – Boolean logic	"
"Andrew Booth – developed the first rotating drum storage device	"
"Kathleen Booth – developed the first assembly language	"
"Anita Borg (1949–2003) – American computer scientist, founder of Anita Borg Institute for Women and Technology	"
"Bert Bos – Cascading Style Sheets	"
"Mikhail Botvinnik – World Chess Champion, computer scientist and electrical engineer, pioneered early expert system AI and computer chess	"
"Jonathan Bowen – Z notation, formal methods	"
"Stephen R. Bourne – Bourne shell, portable ALGOL 68C compiler	"
"Harry Bouwman (born 1953) – Dutch Information systems researcher, and Professor at the ?bo Akademi University	"
"Robert S. Boyer – string searching, ACL2 theorem prover	"
"Karlheinz Brandenburg – Main mp3 contributor	"
"Gilles Brassard - BB84 protocol and quantum cryptography pioneer	"
"Lawrence M. Breed – implementation of Iverson Notation (APL), co-developed APL\360, Scientific Time Sharing Corporation cofounder	"
"Jack E. Bresenham – early computer-graphics contributions, including Bresenham's algorithm	"
"Sergey Brin – co-founder of Google	"
"David J. Brown – unified memory architecture, binary compatibility	"
